id,investorName,investorType,city,country,sectors,stages,logoURL
1732,ID8 Investments,Venture Capital,New York,USA,,,
1733,iGlobe Partners,Venture Capital,Singapore,Singapore,,,https://pbs.twimg.com/profile_images/1455398283010928648/cjF6EQzN_400x400.jpg
1734,Ignacio Plaza,Angel,,,,,
1735,Ignition Partners,Venture Capital,Los Altos,USA,,,https://pbs.twimg.com/profile_images/641393831548551168/sLt9OLMD_400x400.jpg
1736,Imaginary Ventures,Micro VC,New York,USA,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png
1737,Inerjys,Venture Capital,Montréal,Canada,,,https://pbs.twimg.com/profile_images/1059549382922534912/mbaICfTE_400x400.jpg
1738,Infinite Ventures,Micro VC,Ottawa,Canada,,,
1739,Infinity Capital,Micro VC,Menlo Park,USA,,,
1740,Ingka Group,Venture Capital,Leiden,The Netherlands,,,
1741,Innovating Capital,Venture Capital,New York,USA,,,https://pbs.twimg.com/profile_images/965720790401540096/fcVJGETg_400x400.jpg
1742,INP Capital,Venture Capital,Vancouver,Canada,HealthTech,Series A,
1743,Insignius Capital,Venture Capital,,Sweden,,,
1744,Institutional Venture Partners,Venture Capital,Menlo Park,USA,,,https://pbs.twimg.com/profile_images/2168829006/ivp-logo-icon_400x400.jpg
1745,Interlace Ventures,"Micro VC, Venture Capital",New York,USA,,,https://pbs.twimg.com/profile_images/1183096061994438656/zsPT-lD7_400x400.jpg
1746,Intonation Ventures,"Micro VC, Venture Capital",New York,USA,Blockchain,Pre-Seed,https://pbs.twimg.com/profile_images/1425062321370636318/ehTMq8m7_400x400.jpg
1747,Investeco Capital,Micro VC,Toronto,Canada,,,
1748,Iris Capital,Venture Capital,Paris,France,,,https://pbs.twimg.com/profile_images/956590449434726401/4WZsp6sv_400x400.jpg
1749,Island Capital Partners,Venture Capital,,Canada,,,
1750,Ivan Zak,Angel,Saint John,Canada,,,https://pbs.twimg.com/profile_images/1316732439444754432/D5V9_2Uh_400x400.jpg
1751,J. Taylor Crandall,Angel,,,,,
1752,Jack Herrick,Angel,San Francisco Bay Area,USA,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png
1753,JAM Fund,Venture Capital,Las Vegas,USA,,,
1754,James Freeman,Angel,Edmonton,Canada,,,
1755,Jamie McDonald,Angel,Toronto,Canada,,,https://pbs.twimg.com/profile_images/1455914428445118464/LeUn5kSL_400x400.jpg
1756,Jamie Quint,Angel,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1470453401515270148/r7qOC1KG_400x400.jpg
1757,Janus Henderson Investors,Private Equity Firm,London,United Kingdom,,,
1758,Jasmine Lorimer,Angel,,,,,
1759,Jason Sawyer,Angel,Toronto,Canada,,,
1760,Jason Warner,Angel,San Francisco,USA,DevTech,Seed,
1761,Jay Brown,Angel,New York,USA,,,
1762,JDRF T1D Fund,Venture Capital,Boston,USA,,,https://pbs.twimg.com/profile_images/1143186722903285761/JrtVwUvQ_400x400.jpg
1763,"JDS Sports, LLC",Venture Capital,New York,USA,,,
1764,Jean-Francois Gagne,Angel,Montréal,Canada,,,https://pbs.twimg.com/profile_images/854076222212632577/2O92lmYu_400x400.jpg
1765,Jean-Michel Texier,Angel,,,,,https://pbs.twimg.com/profile_images/1170734407617040385/wlW15HyD_400x400.jpg
1766,Jeff Chang,Angel,San Francisco,USA,,,
1767,Jeff Fettes,Angel,Winnipeg,Canada,,,https://pbs.twimg.com/profile_images/905940982880927744/TN63zSl1_400x400.jpg
1768,Jeff Jordan,Angel,San Francisco,USA,,,https://pbs.twimg.com/profile_images/59015842/jeff_drawing_bball_400x400.jpg
1769,Jeff Rich,Angel,Dallas,USA,,,
1770,Jennifer Lum,Angel,Boston,USA,,,https://pbs.twimg.com/profile_images/2309335271/jgnqisjak7gjcnx65kcm_400x400.jpeg
1771,Jerry Neumann,Angel,New York,USA,,,https://pbs.twimg.com/profile_images/1338590605551792128/2fNXE1id_400x400.jpg
1772,Jim Murphy,Angel,Waterloo,Canada,,,
1773,Joe Canavan,Angel,Toronto,Canada,,,
1774,Joe Mimran,Angel,,,,,
1775,John Baker,Angel,Kitchener,Canada,,,https://pbs.twimg.com/profile_images/1455672608/IMG_4129-_Headshot_400x400.jpg
1776,John Bell,Angel,Cambridge,Canada,Hardware,Seed,
1777,John Cammett,Angel,Baltimore,USA,,,
1778,John Carswell,Angel,,,,,
1779,John Curtis,Angel,Vancouver,Canada,,,
1780,John Flanagan,Angel,Toronto,Canada,,,
1781,John Francis,Angel,Toronto,Canada,,,
1782,John Stokes,Angel,Montréal,Canada,,,https://pbs.twimg.com/profile_images/845878052/unshaven_400x400.jpg
1783,Jonathan Beri,Angel,San Francisco,USA,DevTech,Seed,https://pbs.twimg.com/profile_images/1245770740332294149/z1yAxqAu_400x400.jpg
1784,Jonathan Ross Goodman,Angel,,,,,
1785,Jonathan Seaton,Angel,Sheffield,United Kingdom,,,
1786,Jornic Ventures,Venture Capital,,Canada,,,
1787,José Neves,Angel,London,United Kingdom,,,https://pbs.twimg.com/profile_images/822799865281413125/njJ5eHvv_400x400.jpg
1788,Josh Buckley,Angel,,,,,https://pbs.twimg.com/profile_images/1461798195718090752/RFe37GVt_400x400.jpg
1789,Josh Richards,Angel,,,,,https://pbs.twimg.com/profile_images/1256476329047986176/n2mQs8UM_400x400.jpg
1790,Joshua Landy,Angel,,,,,
1791,Juan Felipe Gonzalez Hidalgo,Angel,Andorra,,,,
1792,Jules Walter,Angel,,,,,
1793,Julien Martel,Angel,,,,,
1794,Jumpstart Foundry,"Accelerator, Venture Capital",Nashville,USA,,,https://pbs.twimg.com/profile_images/1098358608960602112/eLcCEncB_400x400.png
1795,June Fund,"Private Equity Firm, Venture Capital",Berlin,Germany,,,
1796,Just Business,Incubator,San Francisco,USA,CleanTech,,https://pbs.twimg.com/profile_images/3336299068/06dac73eeffcb3bb74a4847f83936ffe_400x400.png
1797,Justin Mateen,Angel,United States,,,,https://pbs.twimg.com/profile_images/3145652613/bb9393bcab55d1e229086c16c6255cf3_400x400.jpeg
1798,JW Asset Management,Venture Capital,New York,USA,,,
1799,KarpReilly,Private Equity Firm,Greenwich,USA,,,
1800,Katapult Ocean,Accelerator,Oslo,Norway,,,https://pbs.twimg.com/profile_images/1019263013407387648/sPme3m-N_400x400.jpg
1801,Katelin Holloway,Angel,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1468470779834626050/HnTgUuiA_400x400.jpg
1802,Kayne Partners,Private Equity Firm,Los Angeles,USA,eCommerce,Series B,
1803,KB Partners,Venture Capital,Highland Park,USA,,,https://pbs.twimg.com/profile_images/1009492479480139776/ecfDuhJR_400x400.jpg
1804,Kearny Venture Partners,Venture Capital,San Francisco,USA,,,
1805,Kenneth S. Code,Angel,,,,,
1806,Kensington Capital Partners,"Private Equity Firm, Venture Capital",Toronto,Canada,,,https://pbs.twimg.com/profile_images/1467708313/Kensington_K_5_400x400.jpg
1807,KES 7 Capital,Venture Capital,Toronto,Canada,,,
1808,Kevin Liles,Angel,,,,,
1809,Kevin Lin,Angel,San Francisco,USA,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png
1810,Kevin O'Leary,Angel,Boston,USA,,,https://pbs.twimg.com/profile_images/1366468710001737730/My6JDuPL_400x400.jpg
1811,Kevin Pan,Angel,Shanghai,China,,,
1812,Kevin Walton,Angel,,,,,
1813,Kim Kaplan,Angel,Vancouver,Canada,,,https://pbs.twimg.com/profile_images/1298276965351268353/wX3L1Yga_400x400.jpg
1814,Kima Ventures,Micro VC,Paris,France,Marketplace,Seed,https://pbs.twimg.com/profile_images/904806730088972289/FJgAzDhQ_400x400.jpg
1815,Kirk Simpson,Angel,Toronto,Canada,,,https://pbs.twimg.com/profile_images/763208314935123968/tchVBVHF_400x400.jpg
1816,KJSM Ventures,Venture Capital,Calgary,Canada,FoodTech,Seed,https://pbs.twimg.com/profile_images/894582992022020097/O-WNPgor_400x400.jpg
1817,Klister Credit,Private Equity Firm,Toronto,Canada,,,
1818,Knudsen Capital,Angel Group,Los Gatos,USA,,,
1819,Koch Strategic Platforms,Venture Capital,Wichita,USA,,,
1820,Konvoy Ventures,Micro VC,Denver,USA,PaaS,Series A,
1821,Korea Investment Partners,"Private Equity Firm, Venture Capital",Seoul,South Korea,,,
1822,Kurt Whipp,Angel,Blackpool,Europe,,,
1823,Kymbask Investments,Venture Capital,,Canada,,,
1824,Lance Priebe,Angel,British Columbia,North America,,,https://pbs.twimg.com/profile_images/1038606775094673409/t-re52DB_400x400.jpg
1825,Lane Merrifield,Angel,Vancouver,Canada,,,https://pbs.twimg.com/profile_images/1391114544097873922/OV1naG1P_400x400.jpg
1826,Larry Marcus,Angel,San Francisco,USA,,,https://pbs.twimg.com/profile_images/462012120926674944/E2HpF3K9_400x400.jpeg
1827,LAUNCH,"Accelerator, Venture Capital",San Francisco,USA,,,https://pbs.twimg.com/profile_images/1113494686822486017/1oaPEfsG_400x400.png
1828,Laurie Wallace,Angel,Vancouver,Canada,,,
1829,Lead Edge Capital,Venture Capital,New York,USA,,,https://pbs.twimg.com/profile_images/834544889773690880/6uhlZmwW_400x400.jpg
1830,Lee Fixel,Angel,New York,USA,LogisticsTech,Series A,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png
1831,Lee Lau,Angel,Toronto,Canada,,,
1832,LEGO Ventures,"Venture Capital, Venture Capital",Billund,Denmark,,,https://pbs.twimg.com/profile_images/1309117190021541891/-7vADLK8_400x400.png
1833,Lennar Ventures,Venture Capital,,USA,,,
1834,Lennox Claudius Lewis,Angel,Montego Bay,Jamaica,,,https://pbs.twimg.com/profile_images/1289327752789864450/Isbf51wB_400x400.jpg
1835,Lenny Rachitsky,Angel,,,,,
1836,Leonard Latchman,Angel,,,,,
1837,Leonard Teo,Angel,Montréal,Canada,,,
1838,Les Whiting,Angel,,,,,https://pbs.twimg.com/profile_images/789696123292098560/8R8Mmiul_400x400.jpg
1839,Lev Ekster,Angel,New York,USA,,,
1840,Leva Capital,"Private Equity Firm, Venture Capital",Toronto,Canada,Platform,Pre-Seed,
1841,Lex Capital,Private Equity Firm,Regina,Canada,,,
1842,LG Technology Ventures,Venture Capital,Santa Clara,USA,,,
1843,Liberty Global,Venture Capital,London,United Kingdom,PaaS,Series A,https://pbs.twimg.com/profile_images/1424321905146871811/bJC-UJ1L_400x400.jpg
1844,Life Sciences Partners,Private Equity Firm,Amsterdam,The Netherlands,,,https://pbs.twimg.com/profile_images/873134217085038596/1Vw-V2pP_400x400.jpg
1845,Lightheart Management Partners,Private Equity Firm,Vancouver,Canada,,,
1846,LionTree,Venture Capital,New York,USA,,,
1847,Lip-Bu Tan,Angel,San Jose,USA,,,https://pbs.twimg.com/profile_images/3102085565/408217d6e7855b22a70b39ea770aad85_400x400.jpeg
1848,Lisa Shields,Angel,Vancouver,Canada,,,
1849,Lockheed Martin Ventures,Venture Capital,Bethesda,USA,,,
1850,LoftyInc Capital Management,Venture Capital,Carmel,USA,,,
1851,Loic Le Meur,Angel,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1471904766817181698/sqIbqJs7_400x400.jpg
1852,Lombardstreet Ventures,Venture Capital,Menlo Park,USA,,,https://pbs.twimg.com/profile_images/1165471446908321792/40G3jcH0_400x400.jpg
1853,Lorem Partners,"Private Equity Firm, Venture Capital",Calgary,Canada,GreenTech,,
1854,Louis Charbonneau,Angel,,,,,
1855,Louis Vachon,Angel,,,,,
1856,LP Maurice,Angel,Montréal,Canada,,,https://pbs.twimg.com/profile_images/3730574216/d87e8650726d867abb7fc920f1c891c0_400x400.jpeg
1857,Luca Ventures,Micro VC,San Francisco,USA,,,
1858,Lucas Peltonen,Angel,,,,,
1859,LVL1 Group,"Angel Group, Venture Capital",Limassol,Cyprus,HealthTech,Series D,
1860,Mac Reddin,Angel,New York,USA,DevTech,Seed,https://pbs.twimg.com/profile_images/1466027680940371987/IesabnvR_400x400.jpg
1861,Madrona Venture Group,Venture Capital,Seattle,USA,Platform,Seed,https://pbs.twimg.com/profile_images/484141972630687745/WgMtQ6dE_400x400.jpeg
1862,MAGIC Fund,"Accelerator, Micro VC, Venture Capital",Los Angeles,USA,MarTech,Seed,
1863,Malex Enterprises,Venture Capital,Chicago,USA,,,
1864,Manifold,Venture Capital,Chicago,USA,,,
1865,Manik Gupta,Angel,Los Altos,USA,,,https://pbs.twimg.com/profile_images/1036755630063738880/SiA-zIbo_400x400.jpg
1866,Maninder Dhaliwal,Angel,Vancouver,Canada,,,
1867,Manjit Minhas,Angel,Calgary,Canada,,,https://pbs.twimg.com/profile_images/1439965897528016900/LH5AfyYc_400x400.jpg
1868,mansour Alrayes,Angel,Vancouver,Canada,,,
1869,Marc McCabe,Angel,San Francisco,USA,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png
1870,Marc Morin,Angel,Waterloo,Canada,,,https://pbs.twimg.com/profile_images/429432212346261506/QmixiEPp_400x400.jpeg
1871,Marc Poulin,Angel,,,,,
1872,March Capital,Venture Capital,Santa Monica,USA,,,https://pbs.twimg.com/profile_images/1317184432139161600/VLxLKG3w_400x400.jpg
1873,Marcy Venture Partners,Micro VC,San Francisco,USA,,,
1874,Maria Hwang,Angel,,,,,
1875,Mariano Conti,Angel,Argentina,,,,
1876,Marigold Capital,Micro VC,Toronto,Canada,,,https://pbs.twimg.com/profile_images/901255585118601216/EJI9aKpJ_400x400.jpg
1877,Mark Cowie,Angel,,,,,
1878,Mark Mastrov,Angel,,,,,
1879,Mark Miller,Angel,Canada,,,,
1880,Markus Frind,Angel,Vancouver,Canada,,,
1881,Maschmeyer Group Ventures,"Micro VC, Venture Capital",San Francisco,USA,HRTech,Pre-Seed,https://pbs.twimg.com/profile_images/917861514672877568/h83yYFRC_400x400.jpg
1882,Matias Marquez,Angel,Vancouver,Canada,,,https://pbs.twimg.com/profile_images/892544533191286784/bRVFibrf_400x400.jpg
1883,Matrix Partners,Venture Capital,San Francisco,USA,,,https://pbs.twimg.com/profile_images/764191073459539968/CZd7YC3-_400x400.jpg
1884,Matthew Cowan,Angel,New York,USA,,,
1885,Matthew Tucker,Angel,,,,,
1886,Maureen O'Higgins,Angel,,,,,
1887,Maveron,Venture Capital,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1415082088978542593/Nzi8hs-z_400x400.jpg
1888,Mavrik,Angel Group,Montreal,Canada,,,
1889,Max Mullen,Angel,San Francisco,USA,,,https://pbs.twimg.com/profile_images/424496072656822272/Vvzfq3A5_400x400.png
1890,Max Ventures,Venture Capital,New York,USA,,,https://pbs.twimg.com/profile_images/1014869204573540354/Qa0JOy9u_400x400.jpg
1891,Mayank Kale,Angel,,,,,https://pbs.twimg.com/profile_images/1208720050812682241/oOD8KatA_400x400.jpg
1892,Mazarine Ventures,Venture Capital,Chicago,USA,CleanTech,Seed,
1893,Melissa Prescott,Angel,,,,,
1894,Melissa Tan,Angel,,,,,
1895,Mendoza Ventures,Venture Capital,Boston,USA,,,
1896,Mercanti Management,Venture Capital,Hamilton,Canada,,,
1897,Merida Capital Holdings,"Private Equity Firm, Venture Capital",New York,USA,,,https://pbs.twimg.com/profile_images/971606717497659392/x71j8V9w_400x400.jpg
1898,MetaCartel Ventures,Venture Capital,,Canada,,,https://pbs.twimg.com/profile_images/1156297966233067521/Rt2YFQgt_400x400.jpg
1899,Metaconomy Capital,Venture Capital,Istanbul,Turkey,,,https://pbs.twimg.com/profile_images/1449515871307718659/QiWIlf4B_400x400.jpg
1900,mgnr.io,Micro VC,,Singapore,,,
1901,MGV Capital Group,"Micro VC, Venture Capital",San Antonio,USA,MarTech,Pre-Seed,https://pbs.twimg.com/profile_images/1309939763751923717/11VAqFiq_400x400.jpg
1902,Michael Karn,Angel,,,,,
1903,Michael Mina,Angel,,,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png
1904,Michael Mulcahy,Angel,,,,,
1905,Michael Nashat,Angel,,,Hardware,Seed,
1906,Michael Vanderkaden,Angel,Toronto,Canada,,,
1907,Michael Zych,Angel,,,,,
1908,Micheal Hyatt,Angel,Toronto,Canada,,,https://pbs.twimg.com/profile_images/853702020447993856/hF_C6uCi_400x400.jpg
1909,Michel Lozeau,Angel,Montréal,Canada,,,
1910,Microtraction,Micro VC,Lagos,Nigeria,,,https://pbs.twimg.com/profile_images/857608350808387586/GYy91gTT_400x400.jpg
1911,MIG,Venture Capital,München,Germany,LogisticsTech,,
1912,miHoYo,Venture Capital,Shanghai,China,,,
1913,Mike Cowie,Angel,,,,,
1914,Mike Fata,Angel,Winnipeg,Canada,,,
1915,Mike Hudack,Angel,London,United Kingdom,,,https://pbs.twimg.com/profile_images/1350513479199940610/asd0l1lB_400x400.jpg
1916,Mike Janzen,Angel,,,,,
1917,Mike Liverton,Angel,,,,,
1918,Mike McDerment,Angel,,,,,
1919,Mindset Venture Group Ltd,Venture Capital,Vancouver,Canada,,,
1920,Mindset Ventures,"Micro VC, Venture Capital",São Paulo,Brazil,,,
1921,Miramichi Technology Fund,Accelerator,,Canada,,,
1922,Mitch Joel,Angel,Montréal,Canada,,,https://pbs.twimg.com/profile_images/856809193986248704/x_FRFBo-_400x400.jpg
1923,Mitsubishi Corporation,Venture Capital,Tokyo,Japan,,,
1924,Mohammad Maaz,Angel,,,,,
1925,Mohammed Alshaikh,Angel,Vancouver,Canada,,,
1926,Momenta,Venture Capital,Engelberg,Switzerland,,,https://pbs.twimg.com/profile_images/1306843255930335233/a96o9lcm_400x400.jpg
1927,Moore Strategic Ventures,Venture Capital,New York,USA,,,
1928,Morningstar Ventures,Venture Capital,Dubai,United Arab Emirates,,,
1929,Motivate Venture Capital,"Micro VC, Venture Capital",Chicago,USA,,,https://pbs.twimg.com/profile_images/1268277822369476609/7SCtHgW0_400x400.png
1930,MPM Capital,"Private Equity Firm, Venture Capital",Cambridge,USA,,,https://pbs.twimg.com/profile_images/623170167581843456/Bct7eEwc_400x400.jpg
1931,Mucker Capital,Accelerator,Santa Monica,USA,FinTech,Seed,https://pbs.twimg.com/profile_images/485640595239485440/kDvYVBGB_400x400.png
1932,Murray Goldman,Angel,,,,,
1933,Muse Capital,Micro VC,Los Angeles,USA,,,https://pbs.twimg.com/profile_images/1235598539671011328/LOBLaol1_400x400.jpg
1934,My Climate Journey Collective,Venture Capital,Boston,USA,,,
1935,Naheed Kurji,Angel,Toronto,Canada,,,https://pbs.twimg.com/profile_images/1450962833261285380/QD3MyFXV_400x400.jpg
1936,Napier Park Global Capital,Private Equity Firm,New York,USA,,,
1937,Narya Capital,Venture Capital,Ohio,USA,,,
1938,National Grid Partners,Venture Capital,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1203011346264182784/-hO9vK0Q_400x400.png
1939,Natural Gas Innovation Fund,Venture Capital,Ottawa,Canada,CleanTech,Seed,https://pbs.twimg.com/profile_images/1397650353601056768/TQSSlBDM_400x400.png
1940,Naval Ravikant,Angel,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1256841238298292232/ycqwaMI2_400x400.jpg
1941,NAventures,Venture Capital,Montréal,Canada,,,https://pbs.twimg.com/profile_images/1412037694151069703/4gTPn6SI_400x400.jpg
1942,NBIF’s Venture Capital Fund,Venture Capital,Fredericton,Canada,,,
1943,Nesta.Co,Private Equity Firm,Ottawa,Canada,,,
1944,Neue Fund,Venture Capital,Palm Springs,USA,,,
1945,New Acres Capital,Micro VC,Canada,USA,,,
1946,New Avenue Capital,Venture Capital,,Canada,FinTech,Seed,
1947,New Media Ventures,Venture Capital,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1014310342665441282/ROBbTcQd_400x400.jpg
1948,New York Ventures,Venture Capital,New York,USA,AgTech,Seed,
1949,NewBound Venture Capital,Venture Capital,,USA,,,
1950,Newton Fund,Venture Capital,San Francisco,USA,,,
1951,Next Equities,Venture Capital,Edmonton,Canada,,,https://pbs.twimg.com/profile_images/821608016206295040/PMebNpZP_400x400.jpg
1953,NFP Ventures,Venture Capital,New York,USA,,,
1954,NGEN Partners,Venture Capital,New York,USA,,,https://pbs.twimg.com/profile_images/1629182934/NGEN_logo_2011_-_no_NGEN_400x400.jpg
1955,Nick Robertson,Angel,London,United Kingdom,,,
1956,Nick Romano,Angel,Toronto,Canada,,,
1957,Nick Whalen,Angel,,,,,https://pbs.twimg.com/profile_images/1346900691428794368/Wrg7JlWF_400x400.jpg
1958,Nicolas Bouchard,Angel,,,,,
1959,Nicolas Chapados,Angel,Montréal,Canada,,,
1960,Nik Sharma,Angel,New York,USA,,,https://pbs.twimg.com/profile_images/1469410657531539457/VMtUoMue_400x400.jpg
1961,Nikita Bier,Angel,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1459474459748827143/y3uUVj3t_400x400.jpg
1962,Nimble Ventures,"Angel Group, Venture Capital",San Francisco,USA,,,
1963,Nimbus Synergies,Venture Capital,Vancouver,Canada,HealthTech,"Seed, Series A, Series B",https://images.squarespace-cdn.com/content/v1/5c34d4cc1137a637716dbd69/1598569102368-B54MBCQN2UP2B98652GY/nimbus-logo.png?format=1500w
1964,Nina Capital,"Micro VC, Venture Capital",Barcelona,Spain,Data,,https://pbs.twimg.com/profile_images/1055219288833843200/L6IbGXtP_400x400.jpg
1965,Nine Four Ventures,Venture Capital,Chicago,USA,SaaS,Series B,https://pbs.twimg.com/profile_images/978659305695068160/pZMlKszE_400x400.jpg
1966,Nitesh Banta,Angel,New York,USA,,,https://pbs.twimg.com/profile_images/757368481885089792/I4DaI3Rt_400x400.jpg
1967,NLabs,Venture Capital,New York,USA,PaaS,Series A,
1968,Noah Waisberg,Angel,New York,USA,,,
1969,Noetic Fund,Venture Capital,Toronto,Canada,,,
1970,Noora Alshehhi,Angel,,,,,
1971,North America Venture Fund,Venture Capital,Santa Clara,USA,,,
1972,Northern Private Capital (NPC),Private Equity Firm,Toronto,Canada,,,
1973,Northumberland Community Futures Development Corp.,Private Equity Firm,Cobourg,Canada,,,https://pbs.twimg.com/profile_images/905179755527389184/tVJdwUel_400x400.jpg
1974,Novacap,Private Equity Firm,Longueuil,Canada,,,
1975,O'Leary Ventures,Venture Capital,Boston,USA,,,https://pbs.twimg.com/profile_images/1599013544/OLeary_Ventures_Vertical_-_Opaque-01_400x400.png
1976,Olugbenga Agboola,Angel,,,,,
1977,Omi Velasco,Angel,Calgary,Canada,,,
1978,One Net Capital,Venture Capital,,Canada,,,
1979,OneValley,"Accelerator, Venture Capital",San Mateo,USA,,,https://pbs.twimg.com/profile_images/1311459580187045888/4eSx1Wg1_400x400.jpg
1980,OnRamp Insurance Accelerator,Accelerator,Minneapolis,USA,,,
1981,Operator Partners,Venture Capital,New York,USA,,,
1982,Oracle Investment Management Inc.,Private Equity Firm,Greenwich,USA,,,
1983,Orchid Asia Group Management,Venture Capital,Hong Kong,Hong Kong,,,
1984,OS Fund,Venture Capital,Park Ridge,USA,,,https://pbs.twimg.com/profile_images/524199703798243328/iBDToE3h_400x400.png
1985,Oskar Hartmann,Angel,Moscow,Russian Federation,,,https://pbs.twimg.com/profile_images/3406350285/91440e20aac2a097509b6400db18390a_400x400.jpeg
1986,Otimo Retail,Micro VC,Montréal,Canada,,,
1987,OurCrowd,Venture Capital,Jerusalem,Israel,,,https://pbs.twimg.com/profile_images/813455698747015170/Mr4k-fVN_400x400.jpg
1988,Outlier Ventures Base Camp,Accelerator,London,United Kingdom,,,
1989,Outsized Ventures,Venture Capital,London,United Kingdom,,,
1990,overtime.vc,Angel Group,San Francisco,USA,,,
1991,Overton Venture Capital,"Micro VC, Venture Capital",New York,USA,,,https://pbs.twimg.com/profile_images/1277702809891287042/5rAzig2E_400x400.jpg
1992,Oxy Low Carbon Ventures,Venture Capital,Houston,USA,,,
1993,Oyster Ventures,"Micro VC, Venture Capital",San Francisco,USA,,,
1994,Pallinghurst,Venture Capital,St. Peter Port,Guernsey,,,
1995,Pan-Lin Capital,Venture Capital,Shanghai,China,,,
1996,Pankaj Agarwal,Angel,Bhopal,India,,,https://pbs.twimg.com/profile_images/1144260841556107265/2KB9MEGW_400x400.png
1997,PANONY,Incubator,Sheung Wan,Hong Kong,Metaverse,Seed,
1998,Parade Ventures,Venture Capital,San Francisco,USA,DevTech,Seed,https://pbs.twimg.com/profile_images/1148067135442132992/P3icLHig_400x400.png
1999,Parthesh Patel,Angel,Edmonton,Canada,,,
2000,Pasadena Angels,Angel Group,Altadena,USA,,,https://pbs.twimg.com/profile_images/1858370693/PA-A-logojpg_400x400.jpg
2001,Path Ventures,Venture Capital,,USA,,,
2002,Patrick Patterson,Angel,,,,,https://pbs.twimg.com/profile_images/827587765562986496/-kCgGSee_400x400.jpg
2003,"Patrick Spaulding Ryan, PhD",Angel,San Francisco,USA,,,
2004,Paul Aulakh,Angel,Edmonton,Canada,,,
2005,Paul Della Bitta,Angel,San Diego,USA,,,
2006,Peking University Mingde Fund,Venture Capital,Haidian,China,,,
2007,Peter Harrison,Angel,Washington,USA,,,https://pbs.twimg.com/profile_images/472833897042944000/AqSnLTqa_400x400.jpeg
2008,Peter Thiel,Angel,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1121220551/Peter_Thiel_400x400.jpg
2009,Pfm Capital,Venture Capital,Regina,Canada,,,
2010,Pier 88 Investment Partners,Venture Capital,San Francisco,USA,PaaS,Series A,
2011,Pierre-Etienne Simard,Angel,,,,,
2012,Pique Ventures,Micro VC,Vancouver,Canada,,,https://pbs.twimg.com/profile_images/1016402450691964928/DQrtThCN_400x400.jpg
2013,Platform Calgary,Incubator,Calgary,Canada,,,https://pbs.twimg.com/profile_images/1387891122635120644/bcVsjkWw_400x400.png
2014,PM Equity Partner,"Venture Capital, Private Equity Firm",Lausanne,Switzerland,AgTech,,
2015,PME MTL,Private Equity Firm,Montréal,Canada,,,https://pbs.twimg.com/profile_images/1015301906401562624/fdBE22RH_400x400.jpg
2016,Point Nine,"Micro VC, Venture Capital",Berlin,Germany,,,https://pbs.twimg.com/profile_images/1323222204243419137/_2V8uR4Q_400x400.jpg
2017,Polar Capital Management Inc.,Private Equity Firm,Toronto,Canada,,,
2018,Portugal Ventures,Venture Capital,Porto,Portugal,,,https://pbs.twimg.com/profile_images/1329809456838930433/wTMzCN4F_400x400.jpg
2019,PowerOne Capital Markets Limited,Private Equity Firm,Toronto,Canada,,,
2020,Precursor Ventures,Micro VC,San Francisco,USA,,,https://pbs.twimg.com/profile_images/697963288802385920/F5mnY77v_400x400.png
2021,Predictive VC,Venture Capital,,USA,,,
2022,Prelude Ventures,Venture Capital,San Francisco,USA,,,https://pbs.twimg.com/profile_images/532243564965535747/Bw4yXJOX_400x400.jpeg
2023,Presight Capital,Venture Capital,Los Angeles,USA,,,
2024,Primera Capital,Venture Capital,Oakland,USA,PaaS,Series A,
2025,Private Angel Investors,Angel,Seattle,USA,,,
2026,Private Investors,Angel,United States,,,,
2027,Prosper Otemuyiwa,Angel,Nigeria,,,,https://pbs.twimg.com/profile_images/1468972181728104458/T0HW_QRJ_400x400.jpg
2028,Providence Strategic Growth,"Private Equity Firm, Venture Capital",Boston,USA,,,
2029,Prudence,Venture Capital,New York,USA,,,https://pbs.twimg.com/profile_images/1443240094735994886/dVVAv4LU_400x400.jpg
2030,Pura Vida Investments,Venture Capital,New York,USA,,,
2031,Purity Star,Venture Capital,,Canada,,,
2032,Purppl,Accelerator,Kelowna,Canada,,,https://pbs.twimg.com/profile_images/816009434061123585/ivqOR8LC_400x400.jpg
2033,Pycap Venture Partners,Venture Capital,Toronto,Canada,,,https://pbs.twimg.com/profile_images/420406125842821121/_q_Cnq1g_400x400.png
2034,Pyfera Growth Capital,"Angel Group, Venture Capital",Vancouver,Canada,,,
2035,Qianhai Fund of Funds,Private Equity Firm,Shanzhen,China,,,
